
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
59B  --1-           -1  -1       43384945      0.317419937       0.523342                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384945      0.317463968       0.044031                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 00000000000001E1, length = 0117
59B  --1-           -1  -1       43384945      0.317589703       0.125735                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 000000000000001A, length = 02DE
59B  --1-           -1  -1       43384945      0.317694080       0.104377                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384945      0.317721437       0.027357                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 00000000000000A2, length = 0256
59B  --1-           -1  -1       37486601      0.385852603      68.131166                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       37486601      0.386102283       0.249680                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0DE4
59B  --1-           -1  -1       37486601      0.386105369       0.003086                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000A98, length = 0020
59B  --1-           -1  -1       37486601      0.386108500       0.003131                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000D58, length = 002F
59B  --1-           -1  -1       43384947      1.387770375    1001.661875                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0400
